,age,fnlwgt,education num,capital gain,capital loss,hours per week,workclass,education,marital status,occupation,relationship,race,native country,origin
age,0.0,0.003145036735995271,0.0031359322688856587,0.0030322078316146923,0.002971500077878215,0.005824899052895481,0.0020276740471334596,0.00294329370877275,0.03042259303667972,0.0024008162599147417,0.0026129279050519424,0.0006935684809280772,0.003189151560428094,0.002649742499756027
fnlwgt,0.003145036735995271,0.0,9.104467109612496e-06,0.00011282890438057833,0.0001735366581170561,0.008969935788890753,0.0011173626888618116,0.00020174302722252127,0.033567629772674995,0.005545852995910013,0.0005321088309433286,0.002451468255067194,4.411482443282316e-05,0.003398054733314255
education num,0.0031359322688856587,9.104467109612496e-06,0.0,0.00010372443727096568,0.00016443219100744359,0.008960831321781139,0.001108258221752199,0.0001926385601129087,0.03355852530556538,0.0055367485288003995,0.0005230043638337161,0.0024423637879575815,5.3219291542435647e-05,0.0033894926641235465
capital gain,0.0030322078316146923,0.00011282890438057833,0.00010372443727096568,0.0,6.070775373647783e-05,0.008857106884510173,0.0010045337844812332,8.891412284194301e-05,0.033454800868294415,0.005433024091529435,0.00041927992656275035,0.0023386393506866156,0.0001569437288134014,0.0032956705422308562
capital loss,0.002971500077878215,0.0001735366581170561,0.00016443219100744359,6.070775373647783e-05,0.0,0.008796399130773696,0.0009438260307447553,2.8206369105465133e-05,0.03339409311455793,0.005372316337792957,0.0003585721728262724,0.0022779315969501377,0.00021765148254987917,0.003244484836326773
hours per week,0.005824899052895481,0.008969935788890753,0.008960831321781139,0.008857106884510173,0.008796399130773696,0.0,0.007852573100028942,0.008768192761668231,0.02459769398378424,0.0034240827929807394,0.008437826957947425,0.006518467533823558,0.009014050613323575,0.0058657033383111516
workclass,0.0020276740471334596,0.0011173626888618116,0.001108258221752199,0.0010045337844812332,0.0009438260307447553,0.007852573100028942,0.0,0.0009156196616392903,0.032450267083813183,0.004428490307048201,0.000585253857918483,0.0013341055662053824,0.0011614775132946344,0.002650133907987975
education,0.00294329370877275,0.00020174302722252127,0.0001926385601129087,8.891412284194301e-05,2.8206369105465133e-05,0.008768192761668231,0.0009156196616392903,0.0,0.03336588674545247,0.005344109968687491,0.00033036580372080735,0.002249725227844673,0.0002458578516553444,0.003221577696667673
marital status,0.03042259303667972,0.033567629772674995,0.03355852530556538,0.033454800868294415,0.03339409311455793,0.02459769398378424,0.032450267083813183,0.03336588674545247,0.0,0.028021776776764977,0.033035520941731664,0.031116161517607793,0.033611744597107814,0.030172693671259167
occupation,0.0024008162599147417,0.005545852995910013,0.0055367485288003995,0.005433024091529435,0.005372316337792957,0.0034240827929807394,0.004428490307048201,0.005344109968687491,0.028021776776764977,0.0,0.005013744164966685,0.003094384740842819,0.005589967820342837,0.0036608552154327907
relationship,0.0026129279050519424,0.0005321088309433286,0.0005230043638337161,0.00041927992656275035,0.0003585721728262724,0.008437826957947425,0.000585253857918483,0.00033036580372080735,0.033035520941731664,0.005013744164966685,0.0,0.0019193594241238654,0.0005762236553761516,0.002977535234092863
race,0.0006935684809280772,0.002451468255067194,0.0024423637879575815,0.0023386393506866156,0.0022779315969501377,0.006518467533823558,0.0013341055662053824,0.002249725227844673,0.031116161517607793,0.003094384740842819,0.0019193594241238654,0.0,0.002495583079500017,0.002468009918526909
native country,0.003189151560428094,4.411482443282316e-05,5.3219291542435647e-05,0.0001569437288134014,0.00021765148254987917,0.009014050613323575,0.0011614775132946344,0.0002458578516553444,0.033611744597107814,0.005589967820342837,0.0005762236553761516,0.002495583079500017,0.0,0.003439533281697439
origin,0.002649742499756027,0.003398054733314255,0.0033894926641235465,0.0032956705422308562,0.003244484836326773,0.0058657033383111516,0.002650133907987975,0.003221577696667673,0.030172693671259167,0.0036608552154327907,0.002977535234092863,0.002468009918526909,0.003439533281697439,0.0
