,age,fnlwgt,education num,capital gain,capital loss,hours per week,workclass,education,marital status,occupation,relationship,race,native country,origin
age,0.0,0.005515383081927946,0.005499502652161337,0.0053179540682609765,0.005211365381630596,0.0045476208560332985,0.003545634193229727,0.005161784279912744,0.0026245446445432603,0.0018988380260910357,0.004579438498561425,0.0012033237756014976,0.005591940983908248,0.00402264339910918
fnlwgt,0.005515383081927946,0.0,1.5880429766608823e-05,0.00019742901366696887,0.0003040177002973499,0.0009677622258946472,0.0019697488886982178,0.00035359880201520105,0.0028908384373846846,0.00361654505583691,0.000935944583366521,0.004312059306326448,7.655790198030308e-05,0.0014958583147171964
education num,0.005499502652161337,1.5880429766608823e-05,0.0,0.00018154858390036005,0.00028813727053074103,0.0009518817961280384,0.001953868458931609,0.0003377183722485923,0.002874958007618076,0.003600664626070301,0.0009200641535999121,0.004296178876559839,9.243833174691195e-05,0.0014805202828694916
capital gain,0.0053179540682609765,0.00019742901366696887,0.00018154858390036005,0.0,0.00010658868663038099,0.0007703332122276782,0.0017723198750312487,0.00015616978834823224,0.002693409423717716,0.003419116042169941,0.0007385155696995522,0.004114630292659479,0.0002739869156472721,0.0013088740143474067
capital loss,0.005211365381630596,0.0003040177002973499,0.00028813727053074103,0.00010658868663038099,0.0,0.0006637445255972973,0.001665731188400868,4.9581101717851215e-05,0.0025868207370873353,0.0033125273555395605,0.0006319268830691712,0.004008041606029099,0.000380575602277653,0.001212187890000352
hours per week,0.0045476208560332985,0.0009677622258946472,0.0009518817961280384,0.0007703332122276782,0.0006637445255972973,0.0,0.0010019866628035706,0.0006141634238794461,0.0019230762114900378,0.0026487828299422626,3.181764252812609e-05,0.0033442970804318005,0.0010443201278749503,0.0007133617168416225
workclass,0.003545634193229727,0.0019697488886982178,0.001953868458931609,0.0017723198750312487,0.001665731188400868,0.0010019866628035706,0.0,0.001616150086683017,0.0009210895486864671,0.0016467961671386916,0.0010338043053316967,0.00234231041762823,0.0020463067906785213,0.0006666022315214227
education,0.005161784279912744,0.00035359880201520105,0.0003377183722485923,0.00015616978834823224,4.9581101717851215e-05,0.0006141634238794461,0.001616150086683017,0.0,0.0025372396353694837,0.0032629462538217085,0.00058234578135132,0.003958460504311248,0.00043015670399550415,0.0011688130134557618
marital status,0.0026245446445432603,0.0028908384373846846,0.002874958007618076,0.002693409423717716,0.0025868207370873353,0.0019230762114900378,0.0009210895486864671,0.0025372396353694837,0.0,0.0007257066184522248,0.001954893854018164,0.0014212208689417631,0.002967396339364988,0.001416394783048716
occupation,0.0018988380260910357,0.00361654505583691,0.003600664626070301,0.003419116042169941,0.0033125273555395605,0.0026487828299422626,0.0016467961671386916,0.0032629462538217085,0.0007257066184522248,0.0,0.0026806004724703888,0.0006955142504895383,0.003693102957817213,0.0021277622413323483
relationship,0.004579438498561425,0.000935944583366521,0.0009200641535999121,0.0007385155696995522,0.0006319268830691712,3.181764252812609e-05,0.0010338043053316967,0.00058234578135132,0.001954893854018164,0.0026806004724703888,0.0,0.0033761147229599267,0.0010125024853468241,0.0007322106389872875
race,0.0012033237756014976,0.004312059306326448,0.004296178876559839,0.004114630292659479,0.004008041606029099,0.0033442970804318005,0.00234231041762823,0.003958460504311248,0.0014212208689417631,0.0006955142504895383,0.0033761147229599267,0.0,0.004388617208306751,0.0028204766168907812
native country,0.005591940983908248,7.655790198030308e-05,9.243833174691195e-05,0.0002739869156472721,0.000380575602277653,0.0010443201278749503,0.0020463067906785213,0.00043015670399550415,0.002967396339364988,0.003693102957817213,0.0010125024853468241,0.004388617208306751,0.0,0.0015697799406478605
origin,0.00402264339910918,0.0014958583147171964,0.0014805202828694916,0.0013088740143474067,0.001212187890000352,0.0007133617168416225,0.0006666022315214227,0.0011688130134557618,0.001416394783048716,0.0021277622413323483,0.0007322106389872875,0.0028204766168907812,0.0015697799406478605,0.0
